,name,last_name,age,gender,time,permanent_country,company,main_industry,wealth_source_details,industry,state,headquarters,countries,annual_income,daily_income,birth_year,name_cleaned
2045,Adam Kwok Kai-fai,,39,,2020,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,214578000,459452,1983,adam_kwok_kai_fai
2046,Adam Kwok Kai-fai,,39,,2021,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,195360000,698589,1983,adam_kwok_kai_fai
2047,Adam Kwok Kai-fai,,39,,2021,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,195360000,614794,1983,adam_kwok_kai_fai
2048,Adam Kwok Kai-fai,,39,,2021,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,195360000,587884,1983,adam_kwok_kai_fai
2049,Adam Kwok Kai-fai,,39,,2021,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,195360000,535232,1983,adam_kwok_kai_fai
2050,Adam Kwok Kai-fai,,39,,2021,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,195360000,459452,1983,adam_kwok_kai_fai
2051,Adam Kwok Kai-fai,,39,,2022,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,167700000,698589,1983,adam_kwok_kai_fai
2052,Adam Kwok Kai-fai,,39,,2022,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,167700000,614794,1983,adam_kwok_kai_fai
2053,Adam Kwok Kai-fai,,39,,2022,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,167700000,587884,1983,adam_kwok_kai_fai
2054,Adam Kwok Kai-fai,,39,,2022,China-Hong Kong,Sun Hung Kai,Estate Holding,,Estate Holding;Real Estate,,,chn;hkg,167700000,535232,1983,adam_kwok_kai_fai
